model,homophily,training_seed,seed,nmi
HiD-Net,Medium,42,14,0.2350594660795799
HiD-Net,Medium,42,15,0.22743749548321096
HiD-Net,Medium,42,16,0.22321640286499636
HiD-Net,Medium,42,17,0.22617618396100703
HiD-Net,Medium,42,18,0.2341133070511622
HiD-Net,Medium,42,19,0.2305354307693294
HiD-Net,Medium,43,0,0.21815989484178838
HiD-Net,Medium,43,1,0.22222392617549044
HiD-Net,Medium,43,2,0.21548001053608334
HiD-Net,Medium,43,3,0.22497061016248368
HiD-Net,Medium,43,4,0.21129749608976703
HiD-Net,Medium,43,5,0.21790563501488208
HiD-Net,Medium,43,6,0.22413367155012726
HiD-Net,Medium,43,7,0.2267211895997448
HiD-Net,Medium,43,8,0.22519390674039594
HiD-Net,Medium,43,9,0.21654475172601031
HiD-Net,Medium,43,10,0.22417815118084225
HiD-Net,Medium,43,11,0.21889446600668344
HiD-Net,Medium,43,12,0.22320551325867605
HiD-Net,Medium,43,13,0.21472357673946296
HiD-Net,Medium,43,14,0.22314086796428884
HiD-Net,Medium,43,15,0.22692349351020127
HiD-Net,Medium,43,16,0.22149688365335826
HiD-Net,Medium,43,17,0.2270764484952933
HiD-Net,Medium,43,18,0.2207171162660158
HiD-Net,Medium,43,19,0.22194809095686244
HiD-Net,Medium,44,0,0.21458900511826748
HiD-Net,Medium,44,1,0.2185001076777136
HiD-Net,Medium,44,2,0.21699032347758618
HiD-Net,Medium,44,3,0.21796380478588562
HiD-Net,Medium,44,4,0.21844432077658857
HiD-Net,Medium,44,5,0.222406577801846
HiD-Net,Medium,44,6,0.22391068752764573
HiD-Net,Medium,44,7,0.2219819263110507
HiD-Net,Medium,44,8,0.21493258073080632
HiD-Net,Medium,44,9,0.2172649256627043
HiD-Net,Medium,44,10,0.2198214332308252
HiD-Net,Medium,44,11,0.22343309048422047
HiD-Net,Medium,44,12,0.21948471037067568
HiD-Net,Medium,44,13,0.22355471894297815
HiD-Net,Medium,44,14,0.22196238202006038
HiD-Net,Medium,44,15,0.21334032773377312
HiD-Net,Medium,44,16,0.21646203458162572
HiD-Net,Medium,44,17,0.21996766700056164
HiD-Net,Medium,44,18,0.22001356141100514
HiD-Net,Medium,44,19,0.21526839678690812
HiD-Net,High,42,0,0.5102335299325762
HiD-Net,High,42,1,0.5189007577331783
HiD-Net,High,42,2,0.5129321240531594
HiD-Net,High,42,3,0.49653118248040373
HiD-Net,High,42,4,0.5180504938250244
HiD-Net,High,42,5,0.5061634884542607
HiD-Net,High,42,6,0.4964019153143523
HiD-Net,High,42,7,0.5002818776394885
HiD-Net,High,42,8,0.5084678090850658
HiD-Net,High,42,9,0.5067014599579511
HiD-Net,High,42,10,0.5115895365536003
HiD-Net,High,42,11,0.4999014848391589
HiD-Net,High,42,12,0.514318440597867
HiD-Net,High,42,13,0.5181065138653566
HiD-Net,High,42,14,0.5036839708428268
HiD-Net,High,42,15,0.5045502621259658
HiD-Net,High,42,16,0.49834363910157475
HiD-Net,High,42,17,0.49039913654554534
HiD-Net,High,42,18,0.5091611632284984
HiD-Net,High,42,19,0.4980673486394376
HiD-Net,High,43,0,0.49802178640132294
HiD-Net,High,43,1,0.4854513350972397
HiD-Net,High,43,2,0.492158874538789
HiD-Net,High,43,3,0.4959577369310794
HiD-Net,High,43,4,0.5063961097390408
HiD-Net,High,43,5,0.5013943103706061
HiD-Net,High,43,6,0.49765920870250985
HiD-Net,High,43,7,0.4894551627692316
HiD-Net,High,43,8,0.4940618962094717
HiD-Net,High,43,9,0.49653892463672233
HiD-Net,High,43,10,0.48273313944846125
HiD-Net,High,43,11,0.5057383569104402
HiD-Net,High,43,12,0.5030592593468236
HiD-Net,High,43,13,0.4802577299714229
HiD-Net,High,43,14,0.5073111341318853
HiD-Net,High,43,15,0.49294467502945266
HiD-Net,High,43,16,0.48493720659497286
HiD-Net,High,43,17,0.48577144101552694
HiD-Net,High,43,18,0.49074107271115175
HiD-Net,High,43,19,0.48545817246453865
HiD-Net,High,44,0,0.4983869945963576
HiD-Net,High,44,1,0.5106091871120276
HiD-Net,High,44,2,0.5148131955129565
HiD-Net,High,44,3,0.5089144095097388
HiD-Net,High,44,4,0.4914819627768037
HiD-Net,High,44,5,0.5201116976465453
HiD-Net,High,44,6,0.5089990731751396
HiD-Net,High,44,7,0.5224088018985754
HiD-Net,High,44,8,0.47969900845319974
HiD-Net,High,44,9,0.5142310380556949
HiD-Net,High,44,10,0.5081572402807975
HiD-Net,High,44,11,0.5158722273676777
HiD-Net,High,44,12,0.5209348984590632
HiD-Net,High,44,13,0.5073869924379653
HiD-Net,High,44,14,0.5210652985142007
HiD-Net,High,44,15,0.5061754934832948
HiD-Net,High,44,16,0.510372887131783
HiD-Net,High,44,17,0.4882924057693683
HiD-Net,High,44,18,0.5251827030409814
HiD-Net,High,44,19,0.509712917661559
MTGCN,Low,42,0,0.15664218228463117
MTGCN,Low,42,1,0.15690816813347952
MTGCN,Low,42,2,0.15655750979674518
MTGCN,Low,42,3,0.1536598492946319
MTGCN,Low,42,4,0.1505520710477483
MTGCN,Low,42,5,0.15389290004750003
MTGCN,Low,42,6,0.1562642193591435
MTGCN,Low,42,7,0.15542894413566666
MTGCN,Low,42,8,0.15221207665503472
MTGCN,Low,42,9,0.1536174679779519
MTGCN,Low,42,10,0.15994329438760035
MTGCN,Low,42,11,0.15732305992848025
MTGCN,Low,42,12,0.15419151411906507
MTGCN,Low,42,13,0.16169242817654103
MTGCN,Low,42,14,0.1596358325481864
MTGCN,Low,42,15,0.15324135550912246
MTGCN,Low,42,16,0.15397208231377035
MTGCN,Low,42,17,0.152555819031351
MTGCN,Low,42,18,0.1584690802058327
MTGCN,Low,42,19,0.15490428176241347
MTGCN,Low,43,0,0.14908127800249643
MTGCN,Low,43,1,0.156913951523908
MTGCN,Low,43,2,0.15200932841314221
MTGCN,Low,43,3,0.15085482091407076
MTGCN,Low,43,4,0.15369870042874134
MTGCN,Low,43,5,0.15458442257892832
MTGCN,Low,43,6,0.15544626921837268
MTGCN,Low,43,7,0.1614969041146182
MTGCN,Low,43,8,0.1549524177529586
MTGCN,Low,43,9,0.15818038300439946
MTGCN,Low,43,10,0.1565041310559899
MTGCN,Low,43,11,0.15895691380775867
MTGCN,Low,43,12,0.14971082746388775
MTGCN,Low,43,13,0.15978199874010848
MTGCN,Low,43,14,0.15066659554971026
MTGCN,Low,43,15,0.14905689977310718
MTGCN,Low,43,16,0.1568645695264431
MTGCN,Low,43,17,0.15612262708030109
MTGCN,Low,43,18,0.15688575188815426
MTGCN,Low,43,19,0.15995726220483497
MTGCN,Low,44,0,0.16015666672441503
MTGCN,Low,44,1,0.16082975420299964
MTGCN,Low,44,2,0.16059460284894
MTGCN,Low,44,3,0.1617540119599259
MTGCN,Low,44,4,0.1608414992625583
MTGCN,Low,44,5,0.16308266651181103
MTGCN,Low,44,6,0.15872221448833645
MTGCN,Low,44,7,0.16837047840525252
MTGCN,Low,44,8,0.16058971799068972
MTGCN,Low,44,9,0.15495314388624373
MTGCN,Low,44,10,0.1635077612362974
MTGCN,Low,44,11,0.1610158332108336
MTGCN,Low,44,12,0.1604622441050048
MTGCN,Low,44,13,0.15469710324143476
MTGCN,Low,44,14,0.16120513385445387
MTGCN,Low,44,15,0.16644999701835864
MTGCN,Low,44,16,0.16277356561528822
MTGCN,Low,44,17,0.16539104168959146
MTGCN,Low,44,18,0.15621441851781553
MTGCN,Low,44,19,0.15854071919310148
MTGCN,Medium,42,0,0.1944307558600422
MTGCN,Medium,42,1,0.1978928446717712
MTGCN,Medium,42,2,0.196220950575766
MTGCN,Medium,42,3,0.20151490355265603
MTGCN,Medium,42,4,0.195729620997462
MTGCN,Medium,42,5,0.20335599259479403
MTGCN,Medium,42,6,0.19029345217221283
MTGCN,Medium,42,7,0.19773511893268372
MTGCN,Medium,42,8,0.19299749121807858
MTGCN,Medium,42,9,0.19299924025690296
MTGCN,Medium,42,10,0.194491607375168
MTGCN,Medium,42,11,0.1978469717869136
MTGCN,Medium,42,12,0.19703426376327945
MTGCN,Medium,42,13,0.19874162262669756
MTGCN,Medium,42,14,0.19809144079959257
MTGCN,Medium,42,15,0.20000703360266392
MTGCN,Medium,42,16,0.196487380846817
MTGCN,Medium,42,17,0.19466612645532685
MTGCN,Medium,42,18,0.1973240448656924
MTGCN,Medium,42,19,0.19891361080737893
MTGCN,Medium,43,0,0.1890633646778908
MTGCN,Medium,43,1,0.18446291781358073
MTGCN,Medium,43,2,0.18723936778626046
MTGCN,Medium,43,3,0.18902737032191816
MTGCN,Medium,43,4,0.18782414744138595
MTGCN,Medium,43,5,0.18596189842254313
MTGCN,Medium,43,6,0.18574178644147463
MTGCN,Medium,43,7,0.1926105422968035
MTGCN,Medium,43,8,0.18960695763498342
MTGCN,Medium,43,9,0.18396091340473628
MTGCN,Medium,43,10,0.18760015128465837
MTGCN,Medium,43,11,0.19308018861493795
MTGCN,Medium,43,12,0.19415890801354188
MTGCN,Medium,43,13,0.18300198473994456
MTGCN,Medium,43,14,0.18443304521473428
MTGCN,Medium,43,15,0.18289417767436672
MTGCN,Medium,43,16,0.187726138916124
MTGCN,Medium,43,17,0.18562062619301373
MTGCN,Medium,43,18,0.18414658681199195
MTGCN,Medium,43,19,0.1878663911671353
MTGCN,Medium,44,0,0.18859371594055793
MTGCN,Medium,44,1,0.19254923768199092
MTGCN,Medium,44,2,0.19625548250198377
MTGCN,Medium,44,3,0.204078245257342
MTGCN,Medium,44,4,0.19775800993586423
MTGCN,Medium,44,5,0.1944575356951635
MTGCN,Medium,44,6,0.19616707008163484
MTGCN,Medium,44,7,0.1989275154515337
MTGCN,Medium,44,8,0.19988045766137247
MTGCN,Medium,44,9,0.1925361020172897
MTGCN,Medium,44,10,0.19829165063954268
MTGCN,Medium,44,11,0.1915486625833194
MTGCN,Medium,44,12,0.19289370387721155
MTGCN,Medium,44,13,0.1894139903379236
MTGCN,Medium,44,14,0.19339217001942688
MTGCN,Medium,44,15,0.19382191339238947
MTGCN,Medium,44,16,0.1951516037428967
MTGCN,Medium,44,17,0.18810411158427456
MTGCN,Medium,44,18,0.1984516899411485
MTGCN,Medium,44,19,0.20256542131981073
MTGCN,High,42,0,0.3824519960492693
MTGCN,High,42,1,0.39518183638126964
MTGCN,High,42,2,0.3953170482017714
MTGCN,High,42,3,0.39456635552828134
MTGCN,High,42,4,0.39438901514357366
MTGCN,High,42,5,0.40884479280926256
MTGCN,High,42,6,0.38405908019325785
MTGCN,High,42,7,0.3936187572391466
MTGCN,High,42,8,0.40927091613171596
MTGCN,High,42,9,0.4027092460377982
MTGCN,High,42,10,0.40134342396970946
MTGCN,High,42,11,0.40498122483368315
MTGCN,High,42,12,0.40202168168534325
MTGCN,High,42,13,0.38192549704168477
MTGCN,High,42,14,0.4052898914380102
MTGCN,High,42,15,0.39827170371746007
MTGCN,High,42,16,0.4005271805346618
MTGCN,High,42,17,0.3912507891323477
MTGCN,High,42,18,0.4033715002749832
MTGCN,High,42,19,0.390952768439841
MTGCN,High,43,0,0.44005249243001415
MTGCN,High,43,1,0.42665893080540074
MTGCN,High,43,2,0.4316976882083673
MTGCN,High,43,3,0.42543217222101243
MTGCN,High,43,4,0.42673203038127205
MTGCN,High,43,5,0.4379919850464048
MTGCN,High,43,6,0.44009228944925305
MTGCN,High,43,7,0.4371573024285533
MTGCN,High,43,8,0.44075451581990943
MTGCN,High,43,9,0.44165295776567914
MTGCN,High,43,10,0.43453605740170803
MTGCN,High,43,11,0.45168466129749
MTGCN,High,43,12,0.44227914832450943
MTGCN,High,43,13,0.43699716714948617
MTGCN,High,43,14,0.44119953622756103
MTGCN,High,43,15,0.4494230206569673
MTGCN,High,43,16,0.4494562065865165
MTGCN,High,43,17,0.4424286729274704
MTGCN,High,43,18,0.45387506260120886
MTGCN,High,43,19,0.4455506092187006
MTGCN,High,44,0,0.446662554935155
MTGCN,High,44,1,0.4389955152229559
MTGCN,High,44,2,0.4360893866172886
MTGCN,High,44,3,0.4373639730776612
MTGCN,High,44,4,0.41657187519177474
MTGCN,High,44,5,0.4319031992398996
MTGCN,High,44,6,0.4470253506287415
MTGCN,High,44,7,0.4463327413422373
MTGCN,High,44,8,0.42986128605537555
MTGCN,High,44,9,0.4247057670783086
MTGCN,High,44,10,0.430224430540855
MTGCN,High,44,11,0.4343809672857908
MTGCN,High,44,12,0.45051959580537465
MTGCN,High,44,13,0.4278869707013833
MTGCN,High,44,14,0.4276218457551497
MTGCN,High,44,15,0.42827335803194727
MTGCN,High,44,16,0.4316919000289422
MTGCN,High,44,17,0.437881692630545
MTGCN,High,44,18,0.4356687623888668
MTGCN,High,44,19,0.43218877879416
AdvDIFFormer,Low,42,0,0.19689982140490958
AdvDIFFormer,Low,42,1,0.196254712718613
AdvDIFFormer,Low,42,2,0.20122888860218538
AdvDIFFormer,Low,42,3,0.19086822611229382
AdvDIFFormer,Low,42,4,0.1957968537540964
AdvDIFFormer,Low,42,5,0.19514953289306516
AdvDIFFormer,Low,42,6,0.196019792329169
AdvDIFFormer,Low,42,7,0.1924000992815208
AdvDIFFormer,Low,42,8,0.1946560113070261
AdvDIFFormer,Low,42,9,0.19806807653710137
AdvDIFFormer,Low,42,10,0.19375681482261414
AdvDIFFormer,Low,42,11,0.19831699382538803
AdvDIFFormer,Low,42,12,0.19590414053813654
AdvDIFFormer,Low,42,13,0.1919594736600807
AdvDIFFormer,Low,42,14,0.1945779850445436
AdvDIFFormer,Low,42,15,0.197513369891561
AdvDIFFormer,Low,42,16,0.1920773615841676
AdvDIFFormer,Low,42,17,0.19679938114030454
AdvDIFFormer,Low,42,18,0.1980620941826916
AdvDIFFormer,Low,42,19,0.19289496539277537
AdvDIFFormer,Low,43,0,0.2048004327203493
AdvDIFFormer,Low,43,1,0.20842746347664914
AdvDIFFormer,Low,43,2,0.20936579332629993
AdvDIFFormer,Low,43,3,0.21375982499959667
AdvDIFFormer,Low,43,4,0.20660629337470565
AdvDIFFormer,Low,43,5,0.2089959228543856
AdvDIFFormer,Low,43,6,0.20598301213401662
AdvDIFFormer,Low,43,7,0.21199819984329643
AdvDIFFormer,Low,43,8,0.19979056038635284
AdvDIFFormer,Low,43,9,0.20527978570590666
AdvDIFFormer,Low,43,10,0.2045503840809141
AdvDIFFormer,Low,43,11,0.21086156584334056
AdvDIFFormer,Low,43,12,0.20761286256241393
AdvDIFFormer,Low,43,13,0.20745716771435052
AdvDIFFormer,Low,43,14,0.21372692536074733
AdvDIFFormer,Low,43,15,0.20673312045190548
AdvDIFFormer,Low,43,16,0.20169862985326167
AdvDIFFormer,Low,43,17,0.20940750825602525
AdvDIFFormer,Low,43,18,0.20604178135228635
AdvDIFFormer,Low,43,19,0.20749984515382403
AdvDIFFormer,Low,44,0,0.20081310476521405
AdvDIFFormer,Low,44,1,0.20530548572321491
AdvDIFFormer,Low,44,2,0.1994341073323088
AdvDIFFormer,Low,44,3,0.20908227615043024
AdvDIFFormer,Low,44,4,0.20178204543634692
AdvDIFFormer,Low,44,5,0.19906458286788295
AdvDIFFormer,Low,44,6,0.20036439916696164
AdvDIFFormer,Low,44,7,0.2063396786121755
AdvDIFFormer,Low,44,8,0.19906503416185578
AdvDIFFormer,Low,44,9,0.2070946633464603
AdvDIFFormer,Low,44,10,0.20525318952454624
AdvDIFFormer,Low,44,11,0.2036153303862852
AdvDIFFormer,Low,44,12,0.20721777046421153
AdvDIFFormer,Low,44,13,0.2047573306754366
AdvDIFFormer,Low,44,14,0.20573639751970565
AdvDIFFormer,Low,44,15,0.20252048367246395
AdvDIFFormer,Low,44,16,0.20483345123538274
AdvDIFFormer,Low,44,17,0.20086489501670837
AdvDIFFormer,Low,44,18,0.20356301191565096
AdvDIFFormer,Low,44,19,0.19815740257850145
AdvDIFFormer,Medium,42,0,0.22727340850424127
AdvDIFFormer,Medium,42,1,0.2232816352227731
AdvDIFFormer,Medium,42,2,0.2199190793382989
AdvDIFFormer,Medium,42,3,0.22404186512544888
AdvDIFFormer,Medium,42,4,0.21941424979258556
AdvDIFFormer,Medium,42,5,0.2235187686878677
AdvDIFFormer,Medium,42,6,0.22378417704605522
AdvDIFFormer,Medium,42,7,0.22345408844028888
AdvDIFFormer,Medium,42,8,0.22712920448711396
AdvDIFFormer,Medium,42,9,0.22497250922534362
AdvDIFFormer,Medium,42,10,0.2244169305604212
AdvDIFFormer,Medium,42,11,0.22227945497381615
AdvDIFFormer,Medium,42,12,0.22976284321182405
AdvDIFFormer,Medium,42,13,0.21993130169042074
AdvDIFFormer,Medium,42,14,0.22308808152723056
AdvDIFFormer,Medium,42,15,0.2230917273672593
AdvDIFFormer,Medium,42,16,0.2280066155201427
AdvDIFFormer,Medium,42,17,0.22095009487621603
AdvDIFFormer,Medium,42,18,0.22963565103061054
AdvDIFFormer,Medium,42,19,0.22886774034029236
AdvDIFFormer,Medium,43,0,0.23225301131494852
AdvDIFFormer,Medium,43,1,0.2265776332452517
AdvDIFFormer,Medium,43,2,0.2264945953958093
AdvDIFFormer,Medium,43,3,0.2306064582948996
AdvDIFFormer,Medium,43,4,0.22561920490123036
AdvDIFFormer,Medium,43,5,0.22896626833958045
AdvDIFFormer,Medium,43,6,0.2298950283420203
AdvDIFFormer,Medium,43,7,0.22942187410957365
AdvDIFFormer,Medium,43,8,0.22729271262860973
AdvDIFFormer,Medium,43,9,0.23136833821212593
AdvDIFFormer,Medium,43,10,0.22502032496400007
AdvDIFFormer,Medium,43,11,0.22820092711184384
AdvDIFFormer,Medium,43,12,0.22775247284755062
AdvDIFFormer,Medium,43,13,0.22781301589959826
AdvDIFFormer,Medium,43,14,0.23067217098492596
AdvDIFFormer,Medium,43,15,0.225758895896608
AdvDIFFormer,Medium,43,16,0.23100749899391854
AdvDIFFormer,Medium,43,17,0.231926414228989
AdvDIFFormer,Medium,43,18,0.224013915677899
AdvDIFFormer,Medium,43,19,0.2272004112820255
AdvDIFFormer,Medium,44,0,0.21902832474645728
AdvDIFFormer,Medium,44,1,0.22050965361219038
AdvDIFFormer,Medium,44,2,0.22399716089507685
AdvDIFFormer,Medium,44,3,0.22072543125924654
AdvDIFFormer,Medium,44,4,0.2215516802564277
AdvDIFFormer,Medium,44,5,0.22092399971576548
AdvDIFFormer,Medium,44,6,0.21988342937311384
AdvDIFFormer,Medium,44,7,0.2236132103462104
AdvDIFFormer,Medium,44,8,0.2189900488617136
AdvDIFFormer,Medium,44,9,0.22428257055949974
AdvDIFFormer,Medium,44,10,0.22249546413675386
AdvDIFFormer,Medium,44,11,0.2173415913424282
AdvDIFFormer,Medium,44,12,0.21825632268137912
AdvDIFFormer,Medium,44,13,0.21881473819623962
AdvDIFFormer,Medium,44,14,0.22491716663085828
AdvDIFFormer,Medium,44,15,0.22058105300775996
AdvDIFFormer,Medium,44,16,0.2234586280600412
AdvDIFFormer,Medium,44,17,0.216807530963461
AdvDIFFormer,Medium,44,18,0.21853664301626222
AdvDIFFormer,Medium,44,19,0.22242928366158427
AdvDIFFormer,High,42,0,0.34498320887655026
AdvDIFFormer,High,42,1,0.35504561853609656
AdvDIFFormer,High,42,2,0.36884937285298586
AdvDIFFormer,High,42,3,0.34721830621681166
AdvDIFFormer,High,42,4,0.35389629864588734
AdvDIFFormer,High,42,5,0.3614609710986549
AdvDIFFormer,High,42,6,0.35419148963379155
AdvDIFFormer,High,42,7,0.36467180993710513
AdvDIFFormer,High,42,8,0.35491215320068087
AdvDIFFormer,High,42,9,0.36272112642307275
AdvDIFFormer,High,42,10,0.35750243890248096
AdvDIFFormer,High,42,11,0.3646983318778628
AdvDIFFormer,High,42,12,0.35489166474726175
AdvDIFFormer,High,42,13,0.3439342433727736
AdvDIFFormer,High,42,14,0.3700419700615868
AdvDIFFormer,High,42,15,0.34000218181396424
AdvDIFFormer,High,42,16,0.351633076505082
AdvDIFFormer,High,42,17,0.34657925018395097
AdvDIFFormer,High,42,18,0.364683089861397
AdvDIFFormer,High,42,19,0.34937060178769325
AdvDIFFormer,High,43,0,0.3764093729958272
AdvDIFFormer,High,43,1,0.33649748738744395
AdvDIFFormer,High,43,2,0.3676055404758009
AdvDIFFormer,High,43,3,0.37272998636961246
AdvDIFFormer,High,43,4,0.3704272251489018
AdvDIFFormer,High,43,5,0.3652548471753218
AdvDIFFormer,High,43,6,0.36746968254252727
AdvDIFFormer,High,43,7,0.36729619088714216
AdvDIFFormer,High,43,8,0.37596230880180287
AdvDIFFormer,High,43,9,0.38607307063803736
AdvDIFFormer,High,43,10,0.3659145759022707
AdvDIFFormer,High,43,11,0.38041707539129144
AdvDIFFormer,High,43,12,0.3705652234808823
AdvDIFFormer,High,43,13,0.3622226323335982
AdvDIFFormer,High,43,14,0.3718239734774757
AdvDIFFormer,High,43,15,0.36485758911061306
AdvDIFFormer,High,43,16,0.36912601875162715
AdvDIFFormer,High,43,17,0.3603768761980027
AdvDIFFormer,High,43,18,0.3600197634635553
AdvDIFFormer,High,43,19,0.3848362745501157
AdvDIFFormer,High,44,0,0.3795805467938696
AdvDIFFormer,High,44,1,0.3569034997495417
AdvDIFFormer,High,44,2,0.3632096279946892
AdvDIFFormer,High,44,3,0.3543720028090098
AdvDIFFormer,High,44,4,0.3674790907074358
AdvDIFFormer,High,44,5,0.3388157972869903
AdvDIFFormer,High,44,6,0.36099909867685404
AdvDIFFormer,High,44,7,0.3550695013526682
AdvDIFFormer,High,44,8,0.36906791289613516
AdvDIFFormer,High,44,9,0.35698067876582457
AdvDIFFormer,High,44,10,0.3779658046808259
AdvDIFFormer,High,44,11,0.36987866019511145
AdvDIFFormer,High,44,12,0.36176744188226917
AdvDIFFormer,High,44,13,0.3597923429052675
AdvDIFFormer,High,44,14,0.35870566665702924
AdvDIFFormer,High,44,15,0.35106449479281865
AdvDIFFormer,High,44,16,0.36607229711162376
AdvDIFFormer,High,44,17,0.35701306243428266
AdvDIFFormer,High,44,18,0.35739677893592964
AdvDIFFormer,High,44,19,0.35913328742556394
GREAD,Low,42,0,0.19009847088918694
GREAD,Low,42,1,0.19156711674620502
GREAD,Low,42,2,0.18947153582939508
GREAD,Low,42,3,0.19479234377452734
GREAD,Low,42,4,0.1940358747799509
GREAD,Low,42,5,0.1973084210267972
GREAD,Low,42,6,0.1944514498536434
GREAD,Low,42,7,0.19418413608505228
GREAD,Low,42,8,0.1923250953976107
GREAD,Low,42,9,0.19162279597668033
GREAD,Low,42,10,0.1928598534831151
GREAD,Low,42,11,0.1936204626122803
GREAD,Low,42,12,0.19493669860010024
GREAD,Low,42,13,0.1978849343331886
GREAD,Low,42,14,0.19381719073489248
GREAD,Low,42,15,0.19407958201035314
GREAD,Low,42,16,0.18971525326179045
GREAD,Low,42,17,0.19398240087652902
GREAD,Low,42,18,0.1928734149529769
GREAD,Low,42,19,0.18961474375408843
GREAD,Low,43,0,0.19650762730718555
GREAD,Low,43,1,0.19920641692072277
GREAD,Low,43,2,0.1954545447721225
GREAD,Low,43,3,0.19840820817027952
GREAD,Low,43,4,0.19604832950089202
GREAD,Low,43,5,0.19723732461870197
GREAD,Low,43,6,0.1999274221265094
GREAD,Low,43,7,0.1970420358975621
GREAD,Low,43,8,0.19926482739777673
GREAD,Low,43,9,0.19789167689462991
GREAD,Low,43,10,0.19363858691488553
GREAD,Low,43,11,0.19754325480295692
GREAD,Low,43,12,0.18871002673187032
GREAD,Low,43,13,0.19626890686939216
GREAD,Low,43,14,0.19611238746377113
GREAD,Low,43,15,0.195748642941914
GREAD,Low,43,16,0.1992622195953451
GREAD,Low,43,17,0.19701154227446863
GREAD,Low,43,18,0.20130209280289807
GREAD,Low,43,19,0.1962049764262577
GREAD,Low,44,0,0.20731983861376782
GREAD,Low,44,1,0.20327167185714076
GREAD,Low,44,2,0.20661551699187128
GREAD,Low,44,3,0.20242320718430562
GREAD,Low,44,4,0.20080724240856374
GREAD,Low,44,5,0.20090174681877268
GREAD,Low,44,6,0.1964352120628261
GREAD,Low,44,7,0.19867822683755207
GREAD,Low,44,8,0.2032175774143679
GREAD,Low,44,9,0.20186948177007522
GREAD,Low,44,10,0.20540646374587612
GREAD,Low,44,11,0.2015871842912918
GREAD,Low,44,12,0.2068358154115174
GREAD,Low,44,13,0.20918053793931574
GREAD,Low,44,14,0.2026240460499218
GREAD,Low,44,15,0.2021027161778613
GREAD,Low,44,16,0.20639306891477843
